ID	CRISPRtype	MLST	Ambiguous
ab01085		499	
ab01086	I-Fa	150	
ab01087		499	
ab01088		499	
ab01089		2	
ab01090		2	
ab01091		499	
ab01092		2	
ab01093		406	
ab01094		2	
ab01095		2	
ab01096		499	
ab01097		2	
ab01098		499	
ab01099		2	
ab01100		2	
ab01101		2	
ab01102		499	
ab01103		499	
ab01104		2	
ab01105		2	
ab01106		2	
ab01107		2	
ab01108		2	
ab01109		2	
ab01110		2	
ab01111		2	
ab01112		2	
ab01113		2	
ab01114		2	
ab01115		2	ambiguous
ab01116		2	
ab01117		2	ambiguous
ab01118		724	
ab01119		2	
ab01120		2	
ab01121		2	
ab01122		2	
ab01123		46	
ab01124		2	
ab01125		2	ambiguous
ab01126		2	
ab01127		2	
ab01128		2	
ab01129		2	
ab01130		2	
ab01131		2	
ab01132		2	
ab01133		2	ambiguous
ab01134		1142	
ab01135		2	ambiguous
ab01136		2	
ab01137		2	
ab01138		499	
ab01139		2	
ab01140		2	
ab01141		2	
ab01142		2	ambiguous
ab01143		2	ambiguous
ab01144		2	
ab01145		2	
ab01146		2	
ab01147	I-Fb	734	
ab01148		46	
ab01149		499	
ab01150		2	
ab01151		2	
ab01152		2	
ab01153		2	ambiguous
ab01154		2	ambiguous
ab01155		2	ambiguous
ab01156		2	
ab01157		-	
ab01158		2	
ab01159		-	
ab01160		2	
ab01161		1088	
ab01162		2	
ab01163		2	
ab01164		2	
ab01165		2	
ab01166		2	
ab01167		2	
ab01168		2	
ab01169		2	
ab01170		2	
ab01171		2	
ab01172		2	
ab01173		2	
ab01174		2	
ab01175		2	
ab01176		2	
ab01177		2	
ab01178		2	
ab01179		2	
ab01180		2	
ab01181		23	
ab01182		2	
ab01183		2	
ab01184		2	
ab01185		2	
ab01186		2	
ab01187		2	
ab01188		2	
ab01189	I-Fb	1	
ab01190		3	
ab01191		241	
ab01192		2	
ab01193		2	
ab01194		2	
ab01195		2	
ab01196		2	
ab01197		2	
ab01198	I-Fa,I-Fb	837	
ab01199		2	
ab01200		239	ambiguous
ab01201		-	
ab01202		2	
ab01203		2	
ab01204		2	
ab01205		2	
ab01206		2	
ab01207		2	
ab01208		2	
ab01209		2	
ab01210		40	
ab01211		2	
ab01212		2	
ab01213	I-Fb	25	
ab01214		85	
ab01215		2	
ab01216		2	
ab01217	I-Fb	25	
ab01218		2	
ab01219	I-Fb	25	
ab01220		636	
ab01221		2	
ab01222	I-Fa	23	
ab01223		2	
ab01224		2	
ab01225		215	
ab01226		2	
ab01227		2	
ab01228		2	
ab01229		2	
ab01230		2	
ab01231		2	
ab01232		2	
ab01233		2	
ab01234		2	
ab01235		2	
ab01236		2	
ab01237		2	
ab01238		2	
ab01239		2	
ab01240		2	
ab01241		2	
ab01242		2	
ab01243		2	
ab01244		2	
ab01245		2	
ab01246		2	
ab01247		2	
ab01248		2	
ab01249		2	
ab01250		2	
ab01251		2	
ab01252		2	
ab01253		2	
ab01254		2	
ab01255		2	
ab01256		2	
ab01257		2	
ab01258		2	
ab01259		2	
ab01260		2	
ab01261		-	
ab01262		941	
ab01263	I-Fa	-	
ab01264		2	
ab01265		2	
ab01266		374	ambiguous
ab01267		2	
ab01268	I-Fa	16	
ab01269		2	
ab01270		2	
ab01271		187	
ab01272		164	
ab01273		2	
ab01274		2	
ab01275		215	
ab01276		215	
ab01277		2	
ab01278		2	
ab01279	I-Fa	23	
ab01280		23	ambiguous
ab01281		2	
ab01282	I-Fb	1	
ab01283		2	
ab01284		164	
ab01285		2	
ab01286	I-Fb	25	
ab01287		575	
ab01288		164	
ab01289		164	
ab01290		2	
ab01291		2	
ab01292		2	
ab01293		2	
ab01294		109	
ab01295	I-Fb	1	
ab01296	I-Fb	25	
ab01297	I-Fa	23	
ab01298		575	
ab01299	I-Fb	1	
ab01300		2	
ab01301		2	
ab01302		16	
ab01303		2	
ab01304		2	
ab01305		2	
ab01306		575	
ab01307		571	
ab01308		571	
ab01309		571	
ab01310		571	
ab01311		571	
ab01312		215	
ab01313		571	
ab01314		571	
ab01315		575	
ab01316		575	
ab01317		2	
ab01318		571	
ab01319		575	
ab01320		23	ambiguous
ab01321		571	
ab01322		575	
ab01323		575	
ab01324		571	
ab01325		571	
ab01326		571	
ab01327		571	
ab01328		571	
ab01329		571	
ab01330		2	
ab01331		570	
ab01332		2	
ab01333	I-Fa	16	
ab01334		571	
ab01335		215	
ab01336	I-Fa	16	
ab01337		577	
ab01338		575	
ab01339		570	
ab01340		571	
ab01341		2	
ab01342		571	
ab01343		2	
ab01344		571	
ab01345		571	
ab01346		571	
ab01347		571	
ab01348		2	
ab01349		2	
ab01350		215	
ab01351		215	
ab01352		23	
ab01353		575	
ab01354		2	
ab01355		570	
ab01356		215	
ab01357		2	
ab01358		571	
ab01359		571	
ab01360		570	
ab01361		570	
ab01362		571	
ab01363		578	
ab01364		571	
ab01365		570	
ab01366		570	
ab01367		2	
ab01368		2	
ab01369		2	
ab01370		571	
ab01371		571	
ab01372		2	
ab01373		23	
ab01374		570	
ab01375		570	
ab01376		570	
ab01377		570	
ab01378		570	
ab01379		23	
ab01380		23	
ab01381		2	
ab01382		215	
ab01383		575	
ab01384		570	
ab01385		23	ambiguous
ab01386		575	
ab01387		2	
ab01388		23	ambiguous
ab01389		570	
ab01390		570	
ab01391		570	
ab01392		215	
ab01393		570	
ab01394		575	
ab01395		570	
ab01396		570	
ab01397		1280	
ab01398		2	
ab01399		-	
ab01400	I-Fa	108	
ab01401		2	
ab01402		1279	
ab01403		-	
ab01404		2	
ab01405		740	
ab01406		740	
ab01407		-	
ab01408		107	
ab01409		-	
ab01410		-	
ab01411		-	
ab01412		10	
ab01413		10	
ab01414		10	
ab01415		10	
ab01416		10	
ab01417		10	
ab01418		10	
ab01419		10	
ab01420		10	
ab01421		10	
ab01422		10	
ab01423		10	
ab01424		10	
ab01425		10	
ab01426		10	
ab01427		10	
ab01428		10	
ab01429		1550	
ab01430		10	
ab01431		1550	
ab01432		10	
ab01433		1550	
ab01434		1550	
ab01435		1550	
ab01436		1550	
ab01437		1550	
ab01438		1550	
ab01439		1550	
ab01440		1550	
ab01441		1550	
ab01442		1550	
ab01443		1550	
ab01444		1550	
ab01445		1550	
ab01446		1550	
ab01447		10	
ab01448		10	
ab01449		10	
ab01450		10	
ab01451		1550	
ab01452		1550	
ab01453		1550	
ab01454		10	
ab01455		10	
ab01456		10	
ab01457		10	
ab01458		1550	
ab01459		1550	
ab01460		10	
ab01461		1550	
ab01462		10	
ab01463		10	
ab01464		1550	
ab01465		1550	
ab01466		1550	
ab01467		1550	
ab01468		1550	
ab01469		1550	
ab01470	I-Fa	52	
ab01471	I-Fa	52	
ab01472		10	
ab01473		10	
ab01474	I-Fa	52	
ab01475		10	
ab01476		10	
ab01477		10	
ab01478	I-Fa	16	
ab01479		10	
ab01480		10	
ab01481		10	
ab01482		10	
ab01483		10	
ab01484		10	
ab01485		-	
ab01486		203	ambiguous
ab01487		32	
ab01488		10	
ab01489		10	
ab01490		10	
ab01491		10	
ab01492		1111	
ab01493	I-Fb	654	
ab01494		267	
ab01495		10	
ab01496		10	
ab01497		374	
ab01498		10	
ab01499		10	
ab01500		10	
ab01501		10	
ab01502		10	
ab01503		10	
ab01504		10	
ab01505		499	
ab01506		570	
ab01507		280	
ab01508		1230	
ab01509	I-Fa	16	
ab01510		-	
ab01511	I-Fa	16	
ab01512	I-Fa	52	
ab01513	I-Fa	16	
ab01514	I-Fa	16	
ab01515	I-Fa	16	
ab01516		570	
ab01517		10	
ab01518		1550	
ab01519		1550	
ab01520	I-Fb	1	
ab01521		216	
ab01522		570	
ab01523		570	
ab01524		1550	
ab01525		570	
ab01526		10	
ab01527		1229	
ab01528		77	
ab01529		216	
ab01530		141	
ab01531		10	
ab01532		10	
ab01533		10	
ab01534		10	
ab01535		10	
ab01536		109	
ab01537	I-Fa,I-Fb	837	
ab01538		6	
ab01539		10	
ab01540		1228	
